"id","username","date","status"
823196965827584000","AlfatihHs","2017/1/22","RT @AspirasiKu1: @Rumah_Politik @Abaaah @hincapandjaitan @dimasprakbar @AjengCute16 @GARUDA_AHY @karib_ahy @AhyCenter @monethamrin @AYOJaka…"
823196959540293632","didiklpambudi","2017/1/22","Cara @AgusYudhoyono Gaet Pemilih Pemula https://t.co/KWIcLsBDWU @SBYudhoyono @hincapandjaitan @Edhie_Baskoro @PDemokrat @AhyCenter"
823196884265119744","oemfar","2017/1/22","RT @firmans40756652: @AhyCenter @hildathawilla @AnnisaPohan @AgusFansClub_ Generasi Muda DKI yg Cerdas dn megerti PERUBAHAN untk DKI MEMILI…"
823196771316699136","LoVeMaTa","2017/1/22","RT @GunRomli: Andi Arief mau naikin level AHY jadi urusan Istana biar stigma magang & dinasti politik lenyap ini framing Dinasti Cikeas &…"
823196701695426560","didiklpambudi","2017/1/22","@AgusYudhoyono Bangun 100 Kedai Jakarta dengan Bertahap https://t.co/wjOrnYOgV2 @SBYudhoyono @hincapandjaitan @Edhie_Baskoro @PDemokrat"
823196684691738624","shaniaftria","2017/1/22","RT @AYOJakarta2017: Kemenangan AHY kemenangan warga Jakarta. All For One https://t.co/aQ2bUIWHIq"
823196680250007552","oemfar","2017/1/22","RT @firmans40756652: @AgusFansClub_ @hildathawilla Para IBU IBU trm ksh tlhn mendukung AHY&Mpok Sylvisesama Muslim kita saling Mendukungu…"
823196606392475648","SenjaPergi","2017/1/22","RT @sunar_wr: Lagi Kali Ini Andi Arief Tuduh Jokowi Jegal AHY-Sylvi dan Minta Bu Iriana Diperiksa - Chirpstory https://t.co/7X3wKai1dZ cc…"
823196547378614272","H3ndricX","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823196505624281088","Scandra","2017/1/22","RT @BersatuTapiBeda: #LoGueAhok
https://t.co/MRlKSn1pCG
AHY-Sylvi Joget dan Dangdutan di Perayaan Natal Demokrat Penghinaan Agama?"
823196488209600512","didiklpambudi","2017/1/22","Gerilya di Cibubur @AgusYudhoyono Disambut Kuda Lumping https://t.co/VGxWP2aFCx @SBYudhoyono @hincapandjaitan @Edhie_Baskoro @PDemokrat"
823196456349642752","lj_ican","2017/1/22","Bang @cubby_ghum @abaah @AgusFansClub_ @SohibAHY @GARUDA_AHY @karib_ahy @ZaraZettiraZZ Ibu @dewkemalahayati… https://t.co/6x08J4G39J"
823196439203328000","Jayabay19479190","2017/1/22","@embah72 
Bukan kiri (AHY)
......…
Bukan kanan (Anies)
Waaah tepat sekali ditengah itu Ahok."
823196297846870016","JKT_LIFE","2017/1/22","AHY: Waspadai Kecurangan di Hari Pencoblosan https://t.co/qooeKDRfPY"
823196292775964674","laodesahrulan","2017/1/22","RT @AhyCenter: AHY adalah kejutan dlm pilkada DKI. Padanya harapan rakyat kecil mulai menemukan asanya #24HariLagiMilihAgusSylvi https://t.…"
823196291349954560","sisicerah","2017/1/22","RT @habibthink: 50% yang tidak tamat SD memilih AHY. Berdasarkan hasil survei populi center. https://t.co/ciCwDwXRSV"
823196253941039104","yoyovp","2017/1/22","RT @SomosDSantaCruz: Amigos no ahy tiempo para lamentarse en estos momentos solo queda ayudar y ayudar... #AguanteLaSextaRegion... https:/…"
823196072323387393","AbleRosulM","2017/1/22","RT @AhyCenter: AHY bersama pemilih pemula. Menjelaskan ttg masa depan Jakarta dan tantangannya #JakartaUntukRakyat https://t.co/rMt1kiRjUg"
823196017269018626","JatimKita","2017/1/22","cc: @portalSURYA RT @Cita_Citra88: Terbongkar! Gagal Raih DKI-1 AHY Sudah Disiapkan di Pilgub Jatim 2018 - https://t.co/3TOrnTVYfp…"
